route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
405940,-1,133,Dudweiler Dudoplatz-to-Dudweiler Dudoplatz,,3,https://www.openstreetmap.org/relation/405940,,
405946,-1,164,Dudweiler Dudoplatz-to-Welkertswiesen,,3,https://www.openstreetmap.org/relation/405946,,
405963,-1,111,Rathaus-to-Universität Busterminal,,3,https://www.openstreetmap.org/relation/405963,,
405964,-1,106,Folsterhöhe Siedlung-to-Rotenbühl,,3,https://www.openstreetmap.org/relation/405964,,
405965,8051427652788841760,122,Füllengarten Siedlung-to-Schafbrücke,,3,https://www.openstreetmap.org/relation/405965,,
406011,-1,121,Rathaus-to-Hauptbahnhof,,3,https://www.openstreetmap.org/relation/406011,,
406012,-1,124,Betriebshof-to-Universität Busterminal,,3,https://www.openstreetmap.org/relation/406012,,
406013,-1,150,Saarbrücken Rathaus/Saarcenter-to-Neuweiler Sternplatz,,3,https://www.openstreetmap.org/relation/406013,,
406014,-1,170,St Ingbert Bahnhof-to-Saarbrücken Uni Busterminal,,3,https://www.openstreetmap.org/relation/406014,,
406459,-1,160,St. Ingbert Rendezvous-Platz-to-Sulzbach Bahnhof / Dudweiler Dudoplatz,,3,https://www.openstreetmap.org/relation/406459,,
410679,-1,506,Saarbrücken [-Rentrisch Bahnhof]-to-Blieskastel,,3,https://www.openstreetmap.org/relation/410679,,
412328,-1,105,Rodenhof Kalmanstraße-to-Eschberg Tilsiter Str.,,3,https://www.openstreetmap.org/relation/412328,,
416496,-1,129,Bernkasteler Platz-to-Rathaus,,3,https://www.openstreetmap.org/relation/416496,,
416504,-1,123,Habsterdick-to-Hauptbahnhof,,3,https://www.openstreetmap.org/relation/416504,,
416506,-1,30,Saarbrücken Hauptbahnhof-to-Forbach Gare,,3,https://www.openstreetmap.org/relation/416506,,
416507,-1,126,Goldene Bremm-to-Brebach Bahnhof,,3,https://www.openstreetmap.org/relation/416507,,
418074,-1,463,Lebach-to-Saarlouis,,3,https://www.openstreetmap.org/relation/418074,,
422528,1209936381239817301,Mosel-Saar-Express,,,2,https://www.openstreetmap.org/relation/422528,,
422903,-1,128,Rastpfuhl / Russhütte-to-Wackenberg / Klinikum Saarbrücken,,3,https://www.openstreetmap.org/relation/422903,,
422904,-1,108,Luisenthal Bahnhof-to-Klinikum Saarbrücken,,3,https://www.openstreetmap.org/relation/422904,,
446758,-1,R6,Neunkirchen-to-St. Ingbert,,3,https://www.openstreetmap.org/relation/446758,,
450843,-1,174,Göttelborn Spiel− und Sportzentrum-to-Saarbrücken Landwehrplatz,,3,https://www.openstreetmap.org/relation/450843,,
450854,-1,172,Saarbrücken Hbf-to-Göttelborn Friedhof,,3,https://www.openstreetmap.org/relation/450854,,
450872,-1,301,Neunkirchen Stummdenkmal-to-Illingen Bahnhof/Merchweiler Auf Pfuhlst,,3,https://www.openstreetmap.org/relation/450872,,
457083,-1,R2,Sankt Wendel-to-Wadern,,3,https://www.openstreetmap.org/relation/457083,,
538221,-1,309,Neunkirchen Stummdenkmal-to-Neunkirchen Stummdenkmal,,3,https://www.openstreetmap.org/relation/538221,,
538255,-1,192,Riegelsberg Süd-to-Köllerbach,,3,https://www.openstreetmap.org/relation/538255,,
555580,4734454178002219922,RB 82 Elbling-Bahn,,,2,https://www.openstreetmap.org/relation/555580,,
563161,4734454178002219922,RE 11 Saartal-Express,,,2,https://www.openstreetmap.org/relation/563161,,
563167,4734454178002219922,RE 7 Mosel-Pfalz-Express,,,2,https://www.openstreetmap.org/relation/563167,,
